Model,THR_P90,P90_HitRate,P90_FAR,P90_CSI,THR_20mm,20mm_HitRate,20mm_FAR,20mm_CSI
Stacking Ensemble,4.847999999999999,0.716,0.25,0.578,20.0,0.457,0.323,0.375
XGBoost,4.847999999999999,0.693,0.247,0.565,20.0,0.457,0.3,0.382
Random Forest,4.847999999999999,0.727,0.289,0.561,20.0,0.435,0.31,0.364
ANN,4.847999999999999,0.682,0.241,0.561,20.0,0.565,0.316,0.448
LightGBM,4.847999999999999,0.676,0.256,0.548,20.0,0.478,0.312,0.393
Hybrid (Optimized),4.847999999999999,0.699,0.289,0.544,20.0,0.478,0.29,0.4
SARIMAX,4.847999999999999,0.801,0.493,0.45,20.0,0.0,0.0,0.0
Prophet,4.847999999999999,0.841,0.543,0.42,20.0,0.022,0.0,0.022
Baseline - Persistence (t-1),4.847999999999999,0.42,0.58,0.266,20.0,0.217,0.783,0.122
LSTM,4.847999999999999,0.417,0.703,0.21,20.0,0.0,0.0,0.0
GRU,4.847999999999999,0.389,0.696,0.205,20.0,0.0,0.0,0.0
Baseline - Seasonal Naive (t-365d),4.847999999999999,0.199,0.803,0.11,20.0,0.109,0.886,0.059
